iter	Passed	Remaining
673	4018	1943
674	4022	1936
675	4027	1930
676	4034	1925
677	4038	1918
678	4042	1911
679	4048	1905
680	4053	1898
681	4057	1891
682	4063	1886
683	4067	1879
684	4073	1873
685	4080	1867
686	4084	1860
687	4089	1854
688	4096	1849
689	4100	1842
690	4105	1836
691	4113	1830
692	4117	1824
693	4121	1817
694	4127	1811
695	4132	1805
696	4137	1798
697	4143	1792
698	4148	1786
699	4152	1779
700	4158	1773
701	4162	1767
702	4167	1760
703	4171	1753
704	4177	1747
705	4181	1741
706	4185	1734
707	4190	1728
708	4195	1721
709	4199	1715
710	4203	1708
711	4209	1702
712	4213	1695
713	4217	1689
714	4222	1683
715	4226	1676
716	4230	1669
717	4234	1663
718	4240	1657
719	4244	1650
720	4248	1644
721	4255	1638
722	4270	1636
723	4276	1630
724	4280	1623
725	4284	1617
726	4290	1611
727	4296	1605
728	4302	1599
729	4307	1593
730	4313	1587
731	4322	1582
732	4326	1576
733	4334	1570
734	4341	1565
735	4346	1558
736	4354	1553
737	4358	1547
738	4362	1540
739	4368	1534
740	4372	1528
741	4376	1521
742	4380	1515
743	4384	1508
744	4388	1502
745	4393	1495
746	4398	1489
747	4402	1483
748	4406	1476
749	4410	1470
750	4416	1464
751	4420	1457
752	4424	1451
753	4430	1445
754	4435	1439
755	4439	1432
756	4445	1426
757	4449	1420
758	4453	1414
759	4457	1407
760	4463	1401
761	4467	1395
762	4471	1388
763	4475	1382
764	4480	1376
765	4484	1369
766	4488	1363
767	4493	1357
768	4497	1350
769	4501	1344
770	4505	1338
771	4510	1332
772	4514	1325
773	4518	1319
774	4523	1313
775	4528	1307
776	4532	1300
777	4538	1295
778	4569	1296
779	4577	1291
780	4583	1285
781	4589	1279
782	4595	1273
783	4600	1267
784	4608	1262
785	4614	1256
786	4619	1250
787	4626	1244
788	4632	1238
789	4641	1233
790	4648	1228
791	4658	1223
792	4673	1220
793	4679	1214
794	4687	1208
795	4693	1202
796	4698	1196
797	4706	1191
798	4710	1185
799	4715	1178
800	4722	1173
801	4727	1167
802	4732	1160
803	4737	1155
804	4743	1148
805	4747	1142
806	4755	1137
807	4761	1131
808	4770	1126
809	4775	1120
810	4782	1114
811	4789	1108
812	4803	1104
813	4808	1098
814	4814	1092
815	4820	1086
816	4825	1080
817	4834	1075
818	4839	1069
819	4843	1063
820	4851	1057
821	4855	1051
822	4859	1045
823	4866	1039
824	4870	1033
825	4874	1026
826	4880	1020
827	4884	1014
828	4888	1008
829	4894	1002
830	4898	996
831	4902	989
832	4906	983
833	4912	977
834	4916	971
835	4920	965
836	4925	959
837	4929	953
838	4933	946
839	4937	940
840	4943	934
841	4947	928
842	4951	922
843	4955	916
844	4960	909
845	4964	903
846	4968	897
847	4973	891
848	4977	885
849	4981	879
850	4986	873
851	4991	867
852	4995	860
853	4999	854
854	5003	848
855	5008	842
856	5012	836
857	5016	830
858	5022	824
859	5026	818
860	5030	812
861	5034	805
862	5039	800
863	5046	794
864	5063	790
865	5070	784
866	5074	778
867	5079	772
868	5083	766
869	5089	760
870	5093	754
871	5097	748
872	5103	742
873	5107	736
874	5111	730
875	5115	724
876	5121	718
877	5125	712
878	5129	706
879	5135	700
880	5139	694
881	5146	688
882	5153	682
883	5158	676
884	5163	670
885	5169	665
886	5174	659
887	5178	653
888	5186	647
889	5190	641
890	5194	635
891	5200	629
892	5204	623
893	5208	617
894	5213	611
895	5217	605
896	5221	599
897	5225	593
898	5230	587
899	5234	581
900	5238	575
901	5242	569
902	5248	563
903	5252	557
904	5256	551
905	5261	545
906	5266	539
907	5270	533
908	5276	528
909	5282	522
910	5287	516
911	5291	510
912	5299	504
913	5305	499
914	5313	493
915	5318	487
916	5323	481
917	5332	476
918	5338	470
919	5345	464
920	5350	458
921	5354	452
922	5362	447
923	5367	441
924	5376	435
925	5383	430
926	5390	424
927	5397	418
928	5409	413
929	5413	407
930	5418	401
931	5422	395
932	5426	389
933	5430	383
934	5435	377
935	5449	372
936	5455	366
937	5460	360
938	5467	355
939	5471	349
940	5476	343
941	5482	337
942	5486	331
943	5490	325
944	5495	319
945	5499	313
946	5503	308
947	5507	302
948	5512	296
949	5516	290
950	5520	284
951	5526	278
952	5530	272
953	5534	266
954	5539	261
955	5545	255
956	5549	249
957	5553	243
958	5559	237
959	5566	231
960	5572	226
961	5577	220
962	5581	214
963	5585	208
964	5591	202
965	5595	196
966	5600	191
967	5605	185
968	5609	179
969	5614	173
970	5618	167
971	5624	162
972	5629	156
973	5634	150
974	5640	144
975	5644	138
976	5649	132
977	5654	127
978	5658	121
979	5662	115
980	5666	109
981	5671	103
982	5675	98
983	5679	92
984	5683	86
985	5688	80
986	5692	74
987	5696	69
988	5701	63
989	5705	57
990	5709	51
991	5714	46
992	5719	40
993	5723	34
994	5727	28
995	5731	23
996	5735	17
997	5739	11
998	5743	5
999	5748	0
